token,경주빈도,전주빈도,빈도합,경주비율,전주비율
경주여행,1036,0,1036,100.00%,0.00%
코스,400,420,820,48.78%,51.22%
전주여행,0,739,739,0.00%,100.00%
추천,260,238,498,52.21%,47.79%
숙소,152,68,220,69.09%,30.91%
한옥마을,0,195,195,0.00%,100.00%
질문,109,80,189,57.67%,42.33%
일정,100,75,175,57.14%,42.86%
전주맛집,0,162,162,0.00%,100.00%
전주달봉,0,162,162,0.00%,100.00%
달봉티비,0,162,162,0.00%,100.00%
안녕,88,70,158,55.70%,44.30%
전주가볼만한곳,0,157,157,0.00%,100.00%
여수여행,0,152,152,0.00%,100.00%
국내여행,0,142,142,0.00%,100.00%
여수가볼만한곳,0,142,142,0.00%,100.00%
주도여행,0,137,137,0.00%,100.00%
맛집,50,75,125,40.00%,60.00%
인플루언서,0,112,112,0.00%,100.00%
전문,0,112,112,0.00%,100.00%
제주도가볼만한곳,0,112,112,0.00%,100.00%
답변,65,45,110,59.09%,40.91%
전주달봉이입니다,0,102,102,0.00%,100.00%
관련,65,35,100,65.00%,35.00%
계획,74,26,100,74.00%,26.00%
당일치기,25,55,80,31.25%,68.75%
가족,60,10,70,85.71%,14.29%
황리단길,59,0,59,100.00%,0.00%
장소,33,25,58,56.90%,43.10%
전주한옥마을,0,57,57,0.00%,100.00%
근처,20,34,54,37.04%,62.96%
아이,25,25,50,50.00%,50.00%
준비,25,25,50,50.00%,50.00%
정도,37,10,47,78.72%,21.28%
관광지,25,20,45,55.56%,44.44%
숙박,35,10,45,77.78%,22.22%
아래,25,20,45,55.56%,44.44%
답변드,35,10,45,77.78%,22.22%
남자친구,10,34,44,22.73%,77.27%
덕진공원,0,44,44,0.00%,100.00%
불국사,41,0,41,100.00%,0.00%
호텔,10,31,41,24.39%,75.61%
이용,20,20,40,50.00%,50.00%
택시,15,25,40,37.50%,62.50%
식당,35,5,40,87.50%,12.50%
여자친구,20,20,40,50.00%,50.00%
추천드,20,20,40,50.00%,50.00%
추억,29,10,39,74.36%,25.64%
한옥,0,39,39,0.00%,100.00%
뚜벅,25,13,38,65.79%,34.21%
역사,33,5,38,86.84%,13.16%
도움,15,22,37,40.54%,59.46%
부모님,21,15,36,58.33%,41.67%
첨성대,36,0,36,100.00%,0.00%
주말,15,20,35,42.86%,57.14%
문화,20,15,35,57.14%,42.86%
비용,0,35,35,0.00%,100.00%
거리,10,25,35,28.57%,71.43%
도보,25,10,35,71.43%,28.57%
도착,25,10,35,71.43%,28.57%
가볼만한곳,25,10,35,71.43%,28.57%
계획하,30,5,35,85.71%,14.29%
엄마,35,0,35,100.00%,0.00%
가능,10,25,35,28.57%,71.43%
아들,33,0,33,100.00%,0.00%
감사,5,27,32,15.62%,84.38%
전주동물원,0,32,32,0.00%,100.00%
가족들,27,5,32,84.38%,15.62%
처음,15,15,30,50.00%,50.00%
생각,15,15,30,50.00%,50.00%
날씨,30,0,30,100.00%,0.00%
코스좀,25,5,30,83.33%,16.67%
추천이요,25,5,30,83.33%,16.67%
하루,25,5,30,83.33%,16.67%
친구,10,20,30,33.33%,66.67%
대중교통,15,15,30,50.00%,50.00%
예정,12,15,27,44.44%,55.56%
시작,10,17,27,37.04%,62.96%
석굴암,26,0,26,100.00%,0.00%
이번주,5,20,25,20.00%,80.00%
루트,25,0,25,100.00%,0.00%
주요,25,0,25,100.00%,0.00%
필요,10,15,25,40.00%,60.00%
월지,25,0,25,100.00%,0.00%
첨부,20,5,25,80.00%,20.00%
확인,20,5,25,80.00%,20.00%
추천부탁드,15,10,25,60.00%,40.00%
정보,5,20,25,20.00%,80.00%
가격,5,20,25,20.00%,80.00%
동궁,25,0,25,100.00%,0.00%
사람,10,15,25,40.00%,60.00%
부탁,10,15,25,40.00%,60.00%
제외,5,20,25,20.00%,80.00%
버스,10,15,25,40.00%,60.00%
얼마,3,20,23,13.04%,86.96%
경비,2,20,22,9.09%,90.91%
추천좀,7,15,22,31.82%,68.18%
관광,2,20,22,9.09%,90.91%
어떤,5,15,20,25.00%,75.00%
렌트,5,15,20,25.00%,75.00%
되시길,5,15,20,25.00%,75.00%
대부분,5,15,20,25.00%,75.00%
다음,5,15,20,25.00%,75.00%
카페,10,10,20,50.00%,50.00%
오전,10,10,20,50.00%,50.00%
경기전,0,20,20,0.00%,100.00%
부산,15,5,20,75.00%,25.00%
편안,15,5,20,75.00%,25.00%
무계획,20,0,20,100.00%,0.00%
실패,20,0,20,100.00%,0.00%
아빠,20,0,20,100.00%,0.00%
강아지,0,20,20,0.00%,100.00%
중요,20,0,20,100.00%,0.00%
풀빌라,20,0,20,100.00%,0.00%
다양,15,5,20,75.00%,25.00%
방문하시,15,5,20,75.00%,25.00%
어머니,15,5,20,75.00%,25.00%
숙박비,0,20,20,0.00%,100.00%
구경,0,19,19,0.00%,100.00%
남부시장,0,19,19,0.00%,100.00%
답변드릴게요,18,0,18,100.00%,0.00%
어느정도,2,15,17,11.76%,88.24%
교통비,2,15,17,11.76%,88.24%
터미널,10,6,16,62.50%,37.50%
토요일,5,11,16,31.25%,68.75%
남친이랑,10,6,16,62.50%,37.50%
경주월드,16,0,16,100.00%,0.00%
예상,5,10,15,33.33%,66.67%
여행코스,5,10,15,33.33%,66.67%
한복,5,10,15,33.33%,66.67%
포함,5,10,15,33.33%,66.67%
평일,10,5,15,66.67%,33.33%
학생,10,5,15,66.67%,33.33%
참고,10,5,15,66.67%,33.33%
친구들,5,10,15,33.33%,66.67%
갈곳,5,10,15,33.33%,66.67%
갈껀데,5,10,15,33.33%,66.67%
전동성당,0,15,15,0.00%,100.00%
관광지들,5,10,15,33.33%,66.67%
자동차,0,15,15,0.00%,100.00%
산책,0,15,15,0.00%,100.00%
사람들,0,15,15,0.00%,100.00%
최소한,5,10,15,33.33%,66.67%
많이들,0,15,15,0.00%,100.00%
광주,0,15,15,0.00%,100.00%
초등,5,10,15,33.33%,66.67%
준비해,5,10,15,33.33%,66.67%
명소,5,10,15,33.33%,66.67%
향교,0,15,15,0.00%,100.00%
자차,5,10,15,33.33%,66.67%
채택,10,5,15,66.67%,33.33%
한국도로공사수목원,0,15,15,0.00%,100.00%
방문,10,5,15,66.67%,33.33%
지도,15,0,15,100.00%,0.00%
근데,10,5,15,66.67%,33.33%
말씀,10,5,15,66.67%,33.33%
맞춤형,10,5,15,66.67%,33.33%
문제,10,5,15,66.67%,33.33%
여기어때,10,5,15,66.67%,33.33%
검색,10,5,15,66.67%,33.33%
가을,10,5,15,66.67%,33.33%
여자,10,5,15,66.67%,33.33%
황성공원,15,0,15,100.00%,0.00%
할머니,15,0,15,100.00%,0.00%
포항,15,0,15,100.00%,0.00%
택시투어,15,0,15,100.00%,0.00%
추천드릴게요,15,0,15,100.00%,0.00%
천마총,15,0,15,100.00%,0.00%
부탁드,10,5,15,66.67%,33.33%
제주도,15,0,15,100.00%,0.00%
빵집,15,0,15,100.00%,0.00%
남편,15,0,15,100.00%,0.00%
동궁원,15,0,15,100.00%,0.00%
남산,15,0,15,100.00%,0.00%
의견,10,5,15,66.67%,33.33%
자쿠지,15,0,15,100.00%,0.00%
경주펜션,15,0,15,100.00%,0.00%
마음,15,0,15,100.00%,0.00%
고민,15,0,15,100.00%,0.00%
위주,10,5,15,66.67%,33.33%
소개,15,0,15,100.00%,0.00%
야경,15,0,15,100.00%,0.00%
여성,15,0,15,100.00%,0.00%
오푸스,15,0,15,100.00%,0.00%
지역,4,10,14,28.57%,71.43%
위치,9,5,14,64.29%,35.71%
추가,0,13,13,0.00%,100.00%
내공,10,3,13,76.92%,23.08%
도시,8,5,13,61.54%,38.46%
음식,0,13,13,0.00%,100.00%
갈만한곳,2,10,12,16.67%,83.33%
저녁,5,6,11,45.45%,54.55%
금요일,0,11,11,0.00%,100.00%
출발,11,0,11,100.00%,0.00%
박물관,6,5,11,54.55%,45.45%
커플,5,5,10,50.00%,50.00%
카테고리,5,5,10,50.00%,50.00%
대접,10,0,10,100.00%,0.00%
중간,5,5,10,50.00%,50.00%
기차,10,0,10,100.00%,0.00%
중순,5,5,10,50.00%,50.00%
질문드,5,5,10,50.00%,50.00%
질문자,5,5,10,50.00%,50.00%
편리,5,5,10,50.00%,50.00%
참고용,5,5,10,50.00%,50.00%
대릉원,10,0,10,100.00%,0.00%
초등학교,5,5,10,50.00%,50.00%
기차표,10,0,10,100.00%,0.00%
다음주,10,0,10,100.00%,0.00%
추천좀요,5,5,10,50.00%,50.00%
추천해,5,5,10,50.00%,50.00%
탐방,5,5,10,50.00%,50.00%
추천해드릴게요,5,5,10,50.00%,50.00%
취향,5,5,10,50.00%,50.00%
다쓸려,10,0,10,100.00%,0.00%
코스질문,5,5,10,50.00%,50.00%
주변,5,5,10,50.00%,50.00%
이용하시,5,5,10,50.00%,50.00%
조언,5,5,10,50.00%,50.00%
예약,5,5,10,50.00%,50.00%
몇군데,5,5,10,50.00%,50.00%
부탁드릴게요,5,5,10,50.00%,50.00%
문화재,10,0,10,100.00%,0.00%
서울,5,5,10,50.00%,50.00%
선택하시,5,5,10,50.00%,50.00%
시설,5,5,10,50.00%,50.00%
여행전문블로거,5,5,10,50.00%,50.00%
여행지,5,5,10,50.00%,50.00%
문의주,10,0,10,100.00%,0.00%
역사적,5,5,10,50.00%,50.00%
호수공원,0,10,10,0.00%,100.00%
정복,10,0,10,100.00%,0.00%
독채,10,0,10,100.00%,0.00%
유명,5,5,10,50.00%,50.00%
유적지,5,5,10,50.00%,50.00%
을가는데,5,5,10,50.00%,50.00%
이동하기,5,5,10,50.00%,50.00%
맛집좀,10,0,10,100.00%,0.00%
인근,5,5,10,50.00%,50.00%
있는곳,5,5,10,50.00%,50.00%
자세,5,5,10,50.00%,50.00%
자연,5,5,10,50.00%,50.00%
동선,10,0,10,100.00%,0.00%
제시,5,5,10,50.00%,50.00%
기상,10,0,10,100.00%,0.00%
재밋나용,10,0,10,100.00%,0.00%
현대옥,0,10,10,0.00%,100.00%
크리스마스,0,10,10,0.00%,100.00%
숙박추천,0,10,10,0.00%,100.00%
수목원,0,10,10,0.00%,100.00%
경주택시투어,10,0,10,100.00%,0.00%
생략,0,10,10,0.00%,100.00%
상관,0,10,10,0.00%,100.00%
사투리,0,10,10,0.00%,100.00%
비빔소리,0,10,10,0.00%,100.00%
부터,0,10,10,0.00%,100.00%
복귀,0,10,10,0.00%,100.00%
명이서,0,10,10,0.00%,100.00%
드림랜드,0,10,10,0.00%,100.00%
동물원,0,10,10,0.00%,100.00%
대략,0,10,10,0.00%,100.00%
당일코스,0,10,10,0.00%,100.00%
남해,0,10,10,0.00%,100.00%
기본,0,10,10,0.00%,100.00%
고등학교,0,10,10,0.00%,100.00%
가능한곳,0,10,10,0.00%,100.00%
경주역,10,0,10,100.00%,0.00%
경주시내,10,0,10,100.00%,0.00%
경우,10,0,10,100.00%,0.00%
경북,10,0,10,100.00%,0.00%
같은데요,10,0,10,100.00%,0.00%
가족들이,10,0,10,100.00%,0.00%
가능성,10,0,10,100.00%,0.00%
얼마정도,0,10,10,0.00%,100.00%
여수,0,10,10,0.00%,100.00%
연령,0,10,10,0.00%,100.00%
전주난장,0,10,10,0.00%,100.00%
추석,0,10,10,0.00%,100.00%
최고봉,0,10,10,0.00%,100.00%
진주,0,10,10,0.00%,100.00%
지난주,0,10,10,0.00%,100.00%
주주주,0,10,10,0.00%,100.00%
정리,0,10,10,0.00%,100.00%
점심,0,10,10,0.00%,100.00%
전통,0,10,10,0.00%,100.00%
전주터미널,0,10,10,0.00%,100.00%
전주식,0,10,10,0.00%,100.00%
전주달봉이,0,10,10,0.00%,100.00%
전라도,0,10,10,0.00%,100.00%
경주풀빌라,10,0,10,100.00%,0.00%
자가용,0,10,10,0.00%,100.00%
만원이면,5,5,10,50.00%,50.00%
인플루언,0,10,10,0.00%,100.00%
이상,0,10,10,0.00%,100.00%
이번달,0,10,10,0.00%,100.00%
이동수단,0,10,10,0.00%,100.00%
요소,0,10,10,0.00%,100.00%
완주,0,10,10,0.00%,100.00%
오목대,0,10,10,0.00%,100.00%
구성원,10,0,10,100.00%,0.00%
관련하,10,0,10,100.00%,0.00%
일인당,0,10,10,0.00%,100.00%
사이트,5,5,10,50.00%,50.00%
아이들,10,0,10,100.00%,0.00%
관람,5,5,10,50.00%,50.00%
가볼만한곳들,5,5,10,50.00%,50.00%
양남주상절리,10,0,10,100.00%,0.00%
애인,10,0,10,100.00%,0.00%
알찬코스,10,0,10,100.00%,0.00%
도착예정,5,5,10,50.00%,50.00%
사월말,10,0,10,100.00%,0.00%
게스트하우스,5,5,10,50.00%,50.00%
렌트카,5,5,10,50.00%,50.00%
버드파크,10,0,10,100.00%,0.00%
시내권,10,0,10,100.00%,0.00%
드릴게요,5,5,10,50.00%,50.00%
계획짜,5,5,10,50.00%,50.00%
계절,5,5,10,50.00%,50.00%
경험,5,5,10,50.00%,50.00%
경치,5,5,10,50.00%,50.00%
기념,5,5,10,50.00%,50.00%
깨끗,5,5,10,50.00%,50.00%
위치한,10,0,10,100.00%,0.00%
중앙시장,10,0,10,100.00%,0.00%
요금,10,0,10,100.00%,0.00%
예보,10,0,10,100.00%,0.00%
특별,10,0,10,100.00%,0.00%
예매,10,0,10,100.00%,0.00%
월말,10,0,10,100.00%,0.00%
질문이요,10,0,10,100.00%,0.00%
캐리어사이즈,10,0,10,100.00%,0.00%
주제,10,0,10,100.00%,0.00%
캐리어,10,0,10,100.00%,0.00%
좋을거,10,0,10,100.00%,0.00%
인원,10,0,10,100.00%,0.00%
책자,10,0,10,100.00%,0.00%
요번,10,0,10,100.00%,0.00%
월요일,4,5,9,44.44%,55.56%
바닷가,0,9,9,0.00%,100.00%
펜션,5,4,9,55.56%,44.44%
사진,4,5,9,44.44%,55.56%
용황지구,8,0,8,100.00%,0.00%
용황동,8,0,8,100.00%,0.00%
전주펜션,0,8,8,0.00%,100.00%
선택,8,0,8,100.00%,0.00%
용황,8,0,8,100.00%,0.00%
시절,3,5,8,37.50%,62.50%
음식점,0,8,8,0.00%,100.00%
이틀동안,5,3,8,62.50%,37.50%
시간,3,5,8,37.50%,62.50%
입장료,2,5,7,28.57%,71.43%
궁금,2,5,7,28.57%,71.43%
체험,2,5,7,28.57%,71.43%
조절,7,0,7,100.00%,0.00%
어떤식,7,0,7,100.00%,0.00%
뚜벅이에요,0,6,6,0.00%,100.00%
코스추천,6,0,6,100.00%,0.00%
추천지,6,0,6,100.00%,0.00%
엑스포,6,0,6,100.00%,0.00%
쉬엄,6,0,6,100.00%,0.00%
만들까해요,6,0,6,100.00%,0.00%
국립,6,0,6,100.00%,0.00%
고등학생시절,6,0,6,100.00%,0.00%
기간,0,5,5,0.00%,100.00%
추천받아용,0,5,5,0.00%,100.00%
기지제,0,5,5,0.00%,100.00%
기차표값,0,5,5,0.00%,100.00%
초코파이체험장,0,5,5,0.00%,100.00%
추석당일,0,5,5,0.00%,100.00%
공방,0,5,5,0.00%,100.00%
금액,0,5,5,0.00%,100.00%
추천안해주,0,5,5,0.00%,100.00%
고궁,0,5,5,0.00%,100.00%
고등학교친구들,0,5,5,0.00%,100.00%
고등학생인데요,0,5,5,0.00%,100.00%
골목,0,5,5,0.00%,100.00%
취사가능,0,5,5,0.00%,100.00%
곳좀,0,5,5,0.00%,100.00%
관광도시,0,5,5,0.00%,100.00%
관광징,0,5,5,0.00%,100.00%
교동다윈,0,5,5,0.00%,100.00%
출발해서,0,5,5,0.00%,100.00%
교육기관,0,5,5,0.00%,100.00%
교통비용,0,5,5,0.00%,100.00%
추천해주세욜,0,5,5,0.00%,100.00%
추천하세염,0,5,5,0.00%,100.00%
교통체증,0,5,5,0.00%,100.00%
국립전주박물관,0,5,5,0.00%,100.00%
군산,0,5,5,0.00%,100.00%
기회,0,5,5,0.00%,100.00%
놀러가려는데요,0,5,5,0.00%,100.00%
길손,0,5,5,0.00%,100.00%
달봉이입니다,0,5,5,0.00%,100.00%
다른곳,0,5,5,0.00%,100.00%
다양한,0,5,5,0.00%,100.00%
단둘이,0,5,5,0.00%,100.00%
단점,0,5,5,0.00%,100.00%
천차만별,0,5,5,0.00%,100.00%
찾진,0,5,5,0.00%,100.00%
달곰,0,5,5,0.00%,100.00%
달인,0,5,5,0.00%,100.00%
김선용,0,5,5,0.00%,100.00%
닭볶음탕,0,5,5,0.00%,100.00%
닭요리,0,5,5,0.00%,100.00%
답변해주세효,0,5,5,0.00%,100.00%
답장,0,5,5,0.00%,100.00%
차량소유,0,5,5,0.00%,100.00%
대둔산,0,5,5,0.00%,100.00%
쭈니아빠입니다,0,5,5,0.00%,100.00%
체크인이,0,5,5,0.00%,100.00%
다랭이굴,0,5,5,0.00%,100.00%
다니시는분들,0,5,5,0.00%,100.00%
다녀와보려구요,0,5,5,0.00%,100.00%
꼭먹어야될음식이랑,0,5,5,0.00%,100.00%
초코파,0,5,5,0.00%,100.00%
날짜,0,5,5,0.00%,100.00%
남부시장야시장,0,5,5,0.00%,100.00%
남산타워등,0,5,5,0.00%,100.00%
체험장,0,5,5,0.00%,100.00%
체험도좋구용,0,5,5,0.00%,100.00%
내공있어요,0,5,5,0.00%,100.00%
내용,0,5,5,0.00%,100.00%
내일,0,5,5,0.00%,100.00%
내일처음,0,5,5,0.00%,100.00%
놀러가려,0,5,5,0.00%,100.00%
걱정안하셔도되,0,5,5,0.00%,100.00%
놀러가시,0,5,5,0.00%,100.00%
놀러갈,0,5,5,0.00%,100.00%
건물,0,5,5,0.00%,100.00%
전주국립박물관,0,5,5,0.00%,100.00%
거예요,0,5,5,0.00%,100.00%
친구분,0,5,5,0.00%,100.00%
한복체험,0,5,5,0.00%,100.00%
한복에따라서,0,5,5,0.00%,100.00%
한번도안가봐서요,0,5,5,0.00%,100.00%
하트독,0,5,5,0.00%,100.00%
하늘,0,5,5,0.00%,100.00%
하기로했습니다,0,5,5,0.00%,100.00%
플랫폼,0,5,5,0.00%,100.00%
풍부,0,5,5,0.00%,100.00%
평점,0,5,5,0.00%,100.00%
펜션들,0,5,5,0.00%,100.00%
팔복예술공장,0,5,5,0.00%,100.00%
팀조뮤,0,5,5,0.00%,100.00%
트레킹,0,5,5,0.00%,100.00%
투어공연,0,5,5,0.00%,100.00%
토종,0,5,5,0.00%,100.00%
한옥마을게스트하우스,0,5,5,0.00%,100.00%
한옥마을내,0,5,5,0.00%,100.00%
한옥마을빼,0,5,5,0.00%,100.00%
호캉스,0,5,5,0.00%,100.00%
흐노니,0,5,5,0.00%,100.00%
휴무,0,5,5,0.00%,100.00%
휴가갈건데,0,5,5,0.00%,100.00%
후반,0,5,5,0.00%,100.00%
혼자못먹을것같아서,0,5,5,0.00%,100.00%
혹시나해서,0,5,5,0.00%,100.00%
현황,0,5,5,0.00%,100.00%
한정식,0,5,5,0.00%,100.00%
현재,0,5,5,0.00%,100.00%
허락,0,5,5,0.00%,100.00%
항목들,0,5,5,0.00%,100.00%
할예정,0,5,5,0.00%,100.00%
할려구,0,5,5,0.00%,100.00%
할껀데,0,5,5,0.00%,100.00%
택시타,0,5,5,0.00%,100.00%
태교,0,5,5,0.00%,100.00%
쾌적,0,5,5,0.00%,100.00%
감사하겟습니다,0,5,5,0.00%,100.00%
카페투어,0,5,5,0.00%,100.00%
갈꺼라서,0,5,5,0.00%,100.00%
갈껀데요,0,5,5,0.00%,100.00%
갈만한곳있을까요,0,5,5,0.00%,100.00%
갈수있는곳좀,0,5,5,0.00%,100.00%
갈예정,0,5,5,0.00%,100.00%
침대,0,5,5,0.00%,100.00%
가운데집,0,5,5,0.00%,100.00%
강아지와함께,0,5,5,0.00%,100.00%
강추드립니다,0,5,5,0.00%,100.00%
친정,0,5,5,0.00%,100.00%
객리단길,0,5,5,0.00%,100.00%
걍기전,0,5,5,0.00%,100.00%
거북,0,5,5,0.00%,100.00%
간다라,0,5,5,0.00%,100.00%
가볼만한곳이랑,0,5,5,0.00%,100.00%
코스한번짜주실분,0,5,5,0.00%,100.00%
코스로들,0,5,5,0.00%,100.00%
코스추천부탁드,0,5,5,0.00%,100.00%
코스질문요,0,5,5,0.00%,100.00%
코스좀짜주세요,0,5,5,0.00%,100.00%
코스좀알려주세요,0,5,5,0.00%,100.00%
코스인데요,0,5,5,0.00%,100.00%
코스알려주세요,0,5,5,0.00%,100.00%
켈로그,0,5,5,0.00%,100.00%
가보,0,5,5,0.00%,100.00%
케이블카,0,5,5,0.00%,100.00%
대표음식,0,5,5,0.00%,100.00%
가격이다릅니다,0,5,5,0.00%,100.00%
가고싶은곳,0,5,5,0.00%,100.00%
가는것이아니라,0,5,5,0.00%,100.00%
가맥문화,0,5,5,0.00%,100.00%
진행중,0,5,5,0.00%,100.00%
독일마,0,5,5,0.00%,100.00%
대학,0,5,5,0.00%,100.00%
오랜만,0,5,5,0.00%,100.00%
여행앱,0,5,5,0.00%,100.00%
여행예정,0,5,5,0.00%,100.00%
여행하느냐,0,5,5,0.00%,100.00%
연극,0,5,5,0.00%,100.00%
연인들,0,5,5,0.00%,100.00%
영화,0,5,5,0.00%,100.00%
전주수목원,0,5,5,0.00%,100.00%
영화제,0,5,5,0.00%,100.00%
예약하시,0,5,5,0.00%,100.00%
오션뷰,0,5,5,0.00%,100.00%
여행경,0,5,5,0.00%,100.00%
오픈,0,5,5,0.00%,100.00%
오후,0,5,5,0.00%,100.00%
완산구,0,5,5,0.00%,100.00%
왕복,0,5,5,0.00%,100.00%
왜그런진,0,5,5,0.00%,100.00%
요약,0,5,5,0.00%,100.00%
요일,0,5,5,0.00%,100.00%
요청,0,5,5,0.00%,100.00%
욕조,0,5,5,0.00%,100.00%
여행되시길,0,5,5,0.00%,100.00%
여행객,0,5,5,0.00%,100.00%
운송,0,5,5,0.00%,100.00%
양식,0,5,5,0.00%,100.00%
아름다움,0,5,5,0.00%,100.00%
아침,0,5,5,0.00%,100.00%
안내,0,5,5,0.00%,100.00%
안녕하세요,0,5,5,0.00%,100.00%
안쓰던데요,0,5,5,0.00%,100.00%
알짜배,0,5,5,0.00%,100.00%
애견,0,5,5,0.00%,100.00%
야경명소,0,5,5,0.00%,100.00%
전주시,0,5,5,0.00%,100.00%
어느쪽,0,5,5,0.00%,100.00%
여행가,0,5,5,0.00%,100.00%
어디가있는지,0,5,5,0.00%,100.00%
어디가좋은지,0,5,5,0.00%,100.00%
어디어디,0,5,5,0.00%,100.00%
어딘지,0,5,5,0.00%,100.00%
